    timestep           tps         kinetic_energy  potential_energy     pressure     kinetic_temperature      volume     
      1000          961.33490        2862.15281       -341.98105        6.91603            2.54753           64.00000    
      2000          1134.69106       3887.49966       861.73770         28.77964           3.46017           64.00000    
      3000          1218.91839       4253.69036       1025.92454       -31.80601           3.78611           64.00000    
      4000          1262.89142       3676.82353       682.15820         -0.34937           3.27265           64.00000    
      5000          1287.79401       3258.10179       499.76346         35.55187           2.89996           64.00000    
      6000          1300.86216       3119.16509       454.45426         -1.43719           2.77629           64.00000    
      7000          1312.88763       3306.23718       519.14989         0.62775            2.94280           64.00000    
      8000          1314.03044       3630.31330       551.82385         27.73595           3.23125           64.00000    
      9000          1320.76433       3656.33616       730.04039         55.14780           3.25442           64.00000    
     10000          1328.46800       3521.41156       773.96479         -7.50347           3.13432           64.00000    
     11000          1330.54571       3297.81835       732.43152        -19.48238           2.93531           64.00000    
     12000          1334.03020       3208.74974       392.49578        -24.41747           2.85603           64.00000    
     13000          1336.65356       3401.76480       560.24536         27.57154           3.02783           64.00000    
     14000          1336.77750       3579.74913       716.92973        -28.38002           3.18625           64.00000    
     15000          1334.32341       3508.38878       870.98053        -25.74520           3.12273           64.00000    
     16000          1335.83863       3554.41080       712.63440         16.98978           3.16369           64.00000    
     17000          1337.33435       3451.88262       711.11767         15.75160           3.07244           64.00000    
     18000          1338.53208       3431.34264       831.72562         29.78303           3.05415           64.00000    
     19000          1338.31334       3560.77458       847.33376         20.75858           3.16936           64.00000    
     20000          1339.99092       3318.91417       1047.10240        29.83518           2.95408           64.00000    
     21000          1342.12548       3257.87387       949.70618         38.09968           2.89975           64.00000    
     22000          1341.21083       3462.11387       832.97538         13.95565           3.08154           64.00000    
     23000          1342.16015       3350.43991       940.90560        -25.79777           2.98214           64.00000    
     24000          1342.76065       3488.97457       850.70730        -11.50487           3.10545           64.00000    
     25000          1343.83458       3420.23121       870.13129         27.92892           3.04426           64.00000    
     26000          1344.89602       3458.43238       918.13767        -11.15168           3.07827           64.00000    
     27000          1346.33771       3506.59214       919.75901        -21.01811           3.12113           64.00000    
     28000          1347.48558       3418.91324       843.80547        -12.32324           3.04309           64.00000    
     29000          1346.50696       3473.18137       725.14735         35.49672           3.09139           64.00000    
     30000          1347.09391       3564.68828       648.18884         1.81960            3.17284           64.00000    
     31000          1346.51747       3477.06711       795.02122         5.53595            3.09485           64.00000    
     32000          1345.75991       3340.33593       856.96189        -48.57845           2.97315           64.00000    
     33000          1344.63458       3497.82281       827.17331         1.81421            3.11333           64.00000    
     34000          1344.45595       3539.64367       961.29118         -9.88449           3.15055           64.00000    
     35000          1343.39052       3612.44031       1069.99056        26.75510           3.21535           64.00000    
     36000          1342.12454       3384.67786       937.59363        -10.35772           3.01262           64.00000    
     37000          1341.99127       3322.13856       877.73589         31.32718           2.95695           64.00000    
     38000          1341.81680       3457.44556       759.57000        -15.66059           3.07739           64.00000    
     39000          1341.64906       3578.14928       701.40846         -0.79854           3.18482           64.00000    
     40000          1341.23537       3405.51219       807.72013         9.73022            3.03116           64.00000    
     41000          1341.31349       3573.55173       738.82719        -22.59576           3.18073           64.00000    
     42000          1340.46251       3337.75214       935.62953         -2.86339           2.97085           64.00000    
     43000          1340.73490       3399.22028       925.08927         0.10900            3.02556           64.00000    
     44000          1340.06304       3557.65828       819.63459        -26.26115           3.16659           64.00000    
     45000          1340.11798       3676.31740       961.11514        -49.45406           3.27220           64.00000    
     46000          1339.15942       3568.41653       789.80905         20.50005           3.17616           64.00000    
     47000          1338.73426       3296.02486       855.04722         -6.92302           2.93371           64.00000    
     48000          1338.26487       3408.25776       774.20071         3.32161            3.03361           64.00000    
     49000          1337.72425       3526.32856       958.02517        -18.24402           3.13870           64.00000    
     50000          1338.69421       3617.66256       1004.81240        16.60373           3.21999           64.00000    
     51000          1339.52511       3499.11595       925.70926         40.72491           3.11448           64.00000    
     52000          1340.20090       3406.99639       879.57959         1.19973            3.03248           64.00000    
     53000          1340.64781       3425.79796       902.08152         18.46918           3.04922           64.00000    
     54000          1341.79592       3427.98796       934.35092         16.97416           3.05117           64.00000    
     55000          1342.18430       3530.15104       890.53703         11.99985           3.14210           64.00000    
     56000          1343.30448       3701.37218       1035.24076        8.73107            3.29450           64.00000    
     57000          1345.18089       3403.20571       1341.43763       -18.41819           3.02911           64.00000    
     58000          1347.05601       3306.85995       1095.66911       -33.47517           2.94336           64.00000    
     59000          1348.78642       3498.54727       888.22906         10.65859           3.11397           64.00000    
     60000          1350.13600       3671.38124       951.15067         18.27610           3.26781           64.00000    
     61000          1350.87348       3619.08717       930.17262        -30.73346           3.22126           64.00000    
     62000          1351.85079       3537.73269       811.05495        -25.64538           3.14885           64.00000    
     63000          1352.10033       3358.04787       845.95662        -11.46226           2.98892           64.00000    
     64000          1353.20140       3248.20917       918.55790         48.33378           2.89115           64.00000    
     65000          1354.17024       3469.34440       933.83057         -0.57305           3.08798           64.00000    
     66000          1354.89093       3535.39665       932.24349         5.35684            3.14677           64.00000    
     67000          1355.63172       3343.76703       979.19959         -2.80758           2.97621           64.00000    
     68000          1356.21158       3356.92859       954.44652         -5.33912           2.98792           64.00000    
     69000          1356.74749       3365.31520       943.81872         15.59152           2.99539           64.00000    
     70000          1356.04157       3400.26976       894.25916         -5.44101           3.02650           64.00000    
     71000          1356.34991       3512.43989       886.32944        -35.95860           3.12634           64.00000    
     72000          1356.80273       3480.51350       892.79871         -8.65274           3.09792           64.00000    
     73000          1357.27775       3460.81010       826.45226         -5.18689           3.08038           64.00000    
     74000          1357.04808       3506.25920       728.65484         13.79241           3.12084           64.00000    
     75000          1357.22997       3435.72246       777.02389        -19.65022           3.05805           64.00000    
     76000          1356.63300       3565.55382       804.41979         8.10634            3.17361           64.00000    
     77000          1356.53164       3317.52264       996.38241        -32.76161           2.95285           64.00000    
     78000          1356.58480       3468.77272       935.14287        -26.91436           3.08747           64.00000    
     79000          1357.31985       3271.76882       995.80411        -20.98888           2.91212           64.00000    
     80000          1358.17394       3480.35349       763.20886         -7.15106           3.09778           64.00000    
     81000          1359.24037       3425.03036       931.50551        -33.29756           3.04854           64.00000    
     82000          1360.20948       3466.87879       999.64351        -38.85226           3.08578           64.00000    
     83000          1360.62601       3412.51364       1091.73094       -31.94922           3.03740           64.00000    
     84000          1361.17788       3389.86159       1103.83223        34.82095           3.01723           64.00000    
     85000          1361.98942       3456.73816       919.17053        -10.73137           3.07676           64.00000    
     86000          1362.43542       3442.36615       974.99629         11.05510           3.06397           64.00000    
     87000          1362.55471       3381.72333       965.60202        -46.45304           3.00999           64.00000    
     88000          1362.89786       3438.21957       806.79250         2.74159            3.06028           64.00000    
     89000          1363.51587       3434.98275       853.62172         -2.78172           3.05739           64.00000    
